"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Gene"	"sig"	"log10Pval"	"fcpos"
"ENSG00000188783.6-PRELP"	1.2719446089891	2.02029532802362	10.8816647487626	1.05342094180587e-12	1.20409669246653e-08	18.42524983307	"ENSG00000188783.6-PRELP"	TRUE	7.91933863656779	TRUE
"ENSG00000159388.6-BTG2"	-17.027419360732	38.0802131974918	-10.8423944656694	1.16112120778902e-12	1.20409669246653e-08	18.3371111313406	"ENSG00000159388.6-BTG2"	TRUE	7.91933863656779	FALSE
"ENSG00000144152.13-FBLN7"	12.9665677755329	14.5697585709892	10.7380458998394	1.5053248876152e-12	1.20409669246653e-08	18.1017905758202	"ENSG00000144152.13-FBLN7"	TRUE	7.91933863656779	TRUE
"ENSG00000135828.11-RNASEL"	1.33751244712453	2.27707685583263	10.7318013672786	1.52896313446116e-12	1.20409669246653e-08	18.0876566332447	"ENSG00000135828.11-RNASEL"	TRUE	7.91933863656779	TRUE
"ENSG00000257935.2-LHX5-AS1"	31.0713130650407	23.6869198132867	10.4863510678735	2.83209857542315e-12	1.7842787444881e-08	17.5274679725856	"ENSG00000257935.2-LHX5-AS1"	TRUE	7.74853729808959	TRUE
"ENSG00000234899.10-SOX9-AS1"	7.67710486199002	7.9870652276067	10.3996272939015	3.52783589402672e-12	1.85217264162893e-08	17.3273733608344	"ENSG00000234899.10-SOX9-AS1"	TRUE	7.73231853503402	TRUE
"ENSG00000154529.14-CNTNAP3B"	11.242514043868	10.6243541961627	10.3106570791944	4.42405987376805e-12	1.99089014405096e-08	17.1209174704576	"ENSG00000154529.14-CNTNAP3B"	TRUE	7.70095270338231	TRUE
"ENSG00000274512.5-TBC1D3L"	21.7847910282068	9.16463302899106	10.1267694412646	7.08660135400283e-12	2.79043786565554e-08	16.6904177152305	"ENSG00000274512.5-TBC1D3L"	TRUE	7.55432764342267	TRUE
"ENSG00000254245.2-PCDHGA3"	2.28096061824302	1.57512756578695	9.74406796547944	1.9161673450444e-11	5.973065227356e-08	15.7780859028363	"ENSG00000254245.2-PCDHGA3"	TRUE	7.22380274262341	TRUE
"ENSG00000002586.20-CD99"	163.0988638863	300.439771729746	9.71992747855431	2.0415606883444e-11	5.973065227356e-08	15.7197946131389	"ENSG00000002586.20-CD99"	TRUE	7.22380274262341	TRUE
"ENSG00000091879.13-ANGPT2"	-3.56358221116842	2.39257862527631	-9.71177581805838	2.08576608681998e-11	5.973065227356e-08	15.7000911785425	"ENSG00000091879.13-ANGPT2"	TRUE	7.22380274262341	FALSE
"ENSG00000244694.7-PTCHD4"	-7.10450101078494	8.69416753288601	-9.54986945253331	3.19762223746081e-11	8.23205501844805e-08	15.3066696419338	"ENSG00000244694.7-PTCHD4"	TRUE	7.08449173565469	FALSE
"ENSG00000278962.1-AC092645.1"	4.66237586333935	6.41559855414433	9.52702647809056	3.39724819021062e-11	8.23205501844805e-08	15.2508448196171	"ENSG00000278962.1-AC092645.1"	TRUE	7.08449173565469	TRUE
"ENSG00000274987.1-AC092794.1"	1.38137112906657	1.19376645969879	8.8284057966376	2.23705424800649e-10	5.03353184760375e-07	13.5058788552293	"ENSG00000274987.1-AC092794.1"	TRUE	6.29812717922408	TRUE
"ENSG00000245498.7-AP000866.1"	2.09091141923911	4.39317732591555	8.79979973814949	2.4197673956908e-10	5.08167284877706e-07	13.4328921904865	"ENSG00000245498.7-AP000866.1"	TRUE	6.29399329767688	TRUE
"ENSG00000231431.7-FAR2P4"	1.03750951360229	0.825937935752062	8.52104037344451	5.22861769623964e-10	1.02941678780778e-06	12.7154600762766	"ENSG00000231431.7-FAR2P4"	TRUE	5.98740875352044	TRUE
"ENSG00000118407.15-FILIP1"	7.14477746642209	14.0591619656564	8.49346814940359	5.64563458748289e-10	1.04613608906058e-06	12.6438937655302	"ENSG00000118407.15-FILIP1"	TRUE	5.98041181557999	TRUE
"ENSG00000102181.21-CD99L2"	7.51284111770997	24.7012869136848	8.40840997309808	7.15776356945895e-10	1.24227234077048e-06	12.4224399256704	"ENSG00000102181.21-CD99L2"	TRUE	5.90578318424949	TRUE
"ENSG00000285804.2-AC025774.1"	2.97871146444333	2.78610264675111	8.39204906377385	7.49283339406338e-10	1.24227234077048e-06	12.3797265905864	"ENSG00000285804.2-AC025774.1"	TRUE	5.90578318424949	TRUE
"ENSG00000093072.18-ADA2"	29.0365918036416	32.2482188988164	8.35096959039134	8.4061232802648e-10	1.27405183228591e-06	12.2723154736587	"ENSG00000093072.18-ADA2"	TRUE	5.89481290322684	TRUE
"ENSG00000163040.14-CCDC74A"	20.3086770840284	44.9992613633349	8.34728357966845	8.49340924986641e-10	1.27405183228591e-06	12.2626660837698	"ENSG00000163040.14-CCDC74A"	TRUE	5.89481290322684	TRUE
"ENSG00000111186.13-WNT5B"	31.5022751273338	57.5411032955045	8.27547525440217	1.03902022770711e-09	1.4723397236048e-06	12.0743065356069	"ENSG00000111186.13-WNT5B"	TRUE	5.8319919705256	TRUE
"ENSG00000111728.10-ST8SIA1"	9.47608304307978	12.06684645351	8.26336735680882	1.07500757572491e-09	1.4723397236048e-06	12.0424760978553	"ENSG00000111728.10-ST8SIA1"	TRUE	5.8319919705256	TRUE
"ENSG00000182255.7-KCNA4"	2.66847849063835	1.93448271528141	8.14957372047557	1.4817081153221e-09	1.87075735506863e-06	11.7423406397439	"ENSG00000182255.7-KCNA4"	TRUE	5.72798253862962	TRUE
"ENSG00000233098.9-CCDC144NL-AS1"	-57.6333404812371	48.1248419116894	-8.14886461729649	1.48468092685044e-09	1.87075735506863e-06	11.7404648092845	"ENSG00000233098.9-CCDC144NL-AS1"	TRUE	5.72798253862962	FALSE
"ENSG00000235994.4-HGC6.3"	1.18548667828428	1.21348806965645	8.07294589941879	1.84067783464252e-09	2.23012278727208e-06	11.5392393947626	"ENSG00000235994.4-HGC6.3"	TRUE	5.65167122467979	TRUE
