From	To
KDM5B	ENSG00000117139
SETD5	ENSG00000168137
CHD8	ENSG00000100888
PTEN	ENSG00000171862
ZBTB20	ENSG00000181722
EHMT1	ENSG00000181090
TCF20	ENSG00000283681
TCF20	ENSG00000100207
TCF20	ENSG00000276461
TCF20	ENSG00000280467
TCF20	ENSG00000281897
TCF20	ENSG00000282892
TCF20	ENSG00000262024
TCF20	ENSG00000283026
CTCF	ENSG00000102974
RORB	ENSG00000198963
SLC6A1	ENSG00000157103
CHD2	ENSG00000173575
IRF2BPL	ENSG00000119669
NIPBL	ENSG00000164190
MED13	ENSG00000108510
SYNGAP1	ENSG00000197283
SYNGAP1	ENSG00000227460
POGZ	ENSG00000143442
TLK2	ENSG00000146872
KMT5B	ENSG00000110066
SCN1A	ENSG00000144285
KDM6B	ENSG00000132510
SMARCC2	ENSG00000139613
DSCAM	ENSG00000171587
DNMT3A	ENSG00000119772
DYRK1A	ENSG00000157540
RFX3	ENSG00000080298
ANK2	ENSG00000145362
VEZF1	ENSG00000136451
EBF3	ENSG00000108001
ASH1L	ENSG00000116539
ARID1B	ENSG00000049618
FOXP1	ENSG00000114861
MED23	ENSG00000112282
GIGYF1	ENSG00000146830
PIK3CA	ENSG00000121879
KCNMA1	ENSG00000156113
KCNQ3	ENSG00000184156
WAC	ENSG00000095787
ADNP	ENSG00000101126
SHANK3	ENSG00000251322
BRSK2	ENSG00000174672
KMT2A	ENSG00000118058
CUL3	ENSG00000036257
KMT2C	ENSG00000055609
SATB2	ENSG00000119042
STXBP1	ENSG00000136854
NRXN1	ENSG00000179915
ANKRD11	ENSG00000167522
DLL1	ENSG00000275555
DLL1	ENSG00000198719
PHF21A	ENSG00000135365
SPAST	ENSG00000021574
DEAF1	ENSG00000282712
DEAF1	ENSG00000177030
CASKIN1	ENSG00000167971
AP2S1	ENSG00000042753
PLXNA1	ENSG00000114554
TCF7L2	ENSG00000148737
DYNC1H1	ENSG00000197102
GABRA1	ENSG00000022355
MBD5	ENSG00000204406
AUTS2	ENSG00000158321
KCNB1	ENSG00000158445
ATP2B4	ENSG00000058668
GRIN2B	ENSG00000273079
MEIS2	ENSG00000134138
MED13L	ENSG00000123066
SKI	ENSG00000157933
DLG4	ENSG00000132535
ASXL3	ENSG00000141431
TAOK1	ENSG00000160551
NF1	ENSG00000196712
CTNNB1	ENSG00000168036
NAA15	ENSG00000164134
SCN2A	ENSG00000136531
